date,lsi_raw,lsi_smooth,lsi_lo,lsi_hi
2016-03-01,36.652282630805026,38.05039780846909,33.37095786570856,42.729837751229624
2016-03-02,38.45445766114251,38.23350513501989,32.43965651054052,44.027353759499256
2016-03-03,38.380090039267884,38.4674256470166,32.15250706344422,44.782344230588976
2016-03-04,38.71476090266094,38.627400834677395,32.10840198678079,45.146399682574
2016-03-09,38.9659344412231,38.5407120494235,31.832722936922526,45.24870116192447
2016-03-10,39.63702820700012,37.636303934301004,30.78549015285143,44.48711771575058
2016-03-11,39.58725196064215,36.301532151732296,29.30023444773944,43.30282985572515
2016-03-14,36.04546113402774,34.47348124463188,27.31022054958245,41.63674193968131
2016-03-15,32.12360085528508,32.18835269226918,24.847329887363305,39.52937549717505
2016-03-16,29.036687561286936,29.929700109327488,22.557983443786675,37.3014167748683
2016-03-17,25.918404552957988,27.838311261216088,20.51994935694956,35.156673165482616
2016-03-18,22.970034574684217,26.134789146765453,18.9749785360276,33.294599757503306
2016-03-21,23.826460126408314,24.936879929643023,18.08703763195949,31.786722227326557
2016-03-22,24.947530023862317,24.05077187923791,17.49594389305998,30.60559986541584
2016-03-23,24.120806332873315,23.4728336121049,17.28245972166196,29.663207502547838
2016-03-24,23.73823633542806,23.167685532082537,17.41337599414171,28.921995070023364
2016-03-25,22.83393120845115,22.956276924223808,17.845528321945334,28.06702552650228
2016-03-28,21.872836683026936,22.77498991546596,18.482754621920705,27.067225209011212
2016-03-29,20.833998014527644,23.23090247977453,19.354928193823902,27.10687676572516
2016-03-30,22.34659987139724,24.114061631980633,19.99170394838651,28.236419315574754
2016-03-31,23.67852096255737,25.485980911226015,20.688530524281962,30.28343129817007
2016-04-01,27.312194283033328,26.929301976598115,21.197626468140488,32.66097748505574
2016-04-04,29.92035040087074,28.494031810331133,21.643288925525447,35.34477469513682
2016-04-05,32.43736616316884,29.4875839423125,21.91777059584758,37.05739728877742
2016-04-06,31.976084140631645,30.049320173214035,21.906473874397424,38.19216647203065
2016-04-07,31.787106850658795,30.57885600799174,21.475858686765754,39.681853329217724
2016-04-08,29.30146479526676,31.304819826324497,20.891350693030844,41.71828895961815
2016-04-11,27.610674578868146,32.12287170566883,20.213156359420392,44.03258705191726
2016-04-12,31.018945126477256,33.51518019980205,19.967503702584743,47.06285669701936
2016-04-13,35.002097129200045,35.57453311350017,20.241598239705546,50.9074679872948
2016-04-14,38.16372931857917,37.830727317838694,21.16696481129295,54.49448982438444
2016-04-15,41.72224359956418,40.332368131888984,22.69065887832424,57.974077385453725
2016-04-18,46.20257724654566,43.24627464058325,24.678312201421807,61.8142370797447
2016-04-19,45.09482422563639,46.48315699947297,27.069156750230043,65.8971572487159
2016-04-20,45.122160277220175,50.098853617448135,29.975726345450823,70.22198088944545
2016-04-21,51.41629068733713,54.08990964621239,33.51243015044279,74.667389141982
2016-04-22,57.660273641428034,58.440089692013565,37.72576238735846,79.15441699666867
2016-04-25,63.473605644405396,63.057061222570745,42.78253667981109,83.3315857653304
2016-04-26,69.65963580091392,67.7753546064861,48.68479854793928,86.86591066503293
2016-04-27,76.65383756715391,71.86266473073808,54.178527928079276,89.54680153339687
2016-04-28,77.41362493953666,75.342798822593,59.09481732019859,91.5907803249874
2016-04-29,78.15021396462774,78.1502766162756,63.31813196522069,92.98242126733052
2016-05-04,80.0274615571008,80.26786238258458,66.71068810586775,93.82503665930142
2016-05-05,82.02121228441261,81.42935996930684,68.92128670923414,93.93743322937955
